epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5218.96,0.58223,0.49987,0.41474,0.86707,0.99788,1,0.995,0.91497,0.99788,1,0.995,0.95965,0.44224,0.37723,0.35864,0.83475,0.0091189,0.0091189,0.0091189
91,5275.54,0.58515,0.52252,0.43035,0.88205,0.99707,1,0.995,0.87815,0.99707,1,0.995,0.94235,0.49481,0.37773,0.3245,0.85034,0.009109,0.009109,0.009109
92,5331.77,0.58706,0.49063,0.43356,0.88154,0.99759,1,0.995,0.91048,0.99759,1,0.995,0.96919,0.41565,0.3723,0.31172,0.834,0.0090991,0.0090991,0.0090991
93,5388.11,0.52802,0.53903,0.39742,0.85731,0.99794,1,0.995,0.90948,0.99794,1,0.995,0.96478,0.441,0.36498,0.31171,0.83815,0.0090892,0.0090892,0.0090892
94,5444.63,0.54354,0.53349,0.39898,0.86695,0.99814,1,0.995,0.92079,0.99814,1,0.995,0.96194,0.44431,0.36986,0.30134,0.83401,0.0090793,0.0090793,0.0090793
95,5509.13,0.54976,0.54485,0.39812,0.87287,0.99817,1,0.995,0.94472,0.99817,1,0.995,0.95149,0.42975,0.38469,0.30962,0.84245,0.0090694,0.0090694,0.0090694
96,5568.47,0.55967,0.50749,0.3965,0.87997,0.99807,1,0.995,0.93324,0.99807,1,0.995,0.93286,0.40276,0.39071,0.29319,0.83074,0.0090595,0.0090595,0.0090595
97,5625.43,0.52915,0.53599,0.37548,0.87195,0.99705,1,0.995,0.91749,0.99705,1,0.995,0.9412,0.43211,0.42375,0.31398,0.84289,0.0090496,0.0090496,0.0090496
98,5683.29,0.54391,0.47916,0.39496,0.86523,0.99686,1,0.995,0.9051,0.99686,1,0.995,0.94038,0.46599,0.5084,0.3223,0.86598,0.0090397,0.0090397,0.0090397
99,5739.92,0.50845,0.52852,0.38683,0.87576,0.99692,1,0.995,0.90332,0.99692,1,0.995,0.92809,0.47963,0.50031,0.34128,0.87385,0.0090298,0.0090298,0.0090298
